[2020-08-14 22:11:02,123] chlorophyll.autograd INFO    : starting 10000 optimization passes on autograd model (16->12->1) w/ 1e-08 learning rate
[2020-08-14 22:11:21,181] chlorophyll.autograd INFO    :   5699 -  107973040.0 (   -291264.0 difference)
[2020-08-14 22:11:21,438] chlorophyll.autograd INFO    :   5799 -  107685792.0 (   -287248.0 difference)
[2020-08-14 22:11:21,698] chlorophyll.autograd INFO    :   5899 -  107402560.0 (   -283232.0 difference)
[2020-08-14 22:11:21,955] chlorophyll.autograd INFO    :   5999 -  107123488.0 (   -279072.0 difference)
[2020-08-14 22:11:22,213] chlorophyll.autograd INFO    :   6099 -  106848544.0 (   -274944.0 difference)
[2020-08-14 22:11:22,472] chlorophyll.autograd INFO    :   6199 -  106577512.0 (   -271032.0 difference)
[2020-08-14 22:11:22,731] chlorophyll.autograd INFO    :   6299 -  106310176.0 (   -267336.0 difference)
[2020-08-14 22:11:22,988] chlorophyll.autograd INFO    :   6399 -  106046248.0 (   -263928.0 difference)
[2020-08-14 22:11:23,245] chlorophyll.autograd INFO    :   6499 -  105785472.0 (   -260776.0 difference)
[2020-08-14 22:11:23,503] chlorophyll.autograd INFO    :   6599 -  105527744.0 (   -257728.0 difference)
[2020-08-14 22:11:23,761] chlorophyll.autograd INFO    :   6699 -  105273040.0 (   -254704.0 difference)
[2020-08-14 22:11:24,018] chlorophyll.autograd INFO    :   6799 -  105021664.0 (   -251376.0 difference)
[2020-08-14 22:11:24,277] chlorophyll.autograd INFO    :   6899 -  104773696.0 (   -247968.0 difference)
[2020-08-14 22:11:24,534] chlorophyll.autograd INFO    :   6999 -  104529112.0 (   -244584.0 difference)
[2020-08-14 22:11:24,792] chlorophyll.autograd INFO    :   7099 -  104287872.0 (   -241240.0 difference)
[2020-08-14 22:11:25,049] chlorophyll.autograd INFO    :   7199 -  104049904.0 (   -237968.0 difference)
[2020-08-14 22:11:25,306] chlorophyll.autograd INFO    :   7299 -  103815048.0 (   -234856.0 difference)
[2020-08-14 22:11:25,565] chlorophyll.autograd INFO    :   7399 -  103583200.0 (   -231848.0 difference)
[2020-08-14 22:11:25,822] chlorophyll.autograd INFO    :   7499 -  103354304.0 (   -228896.0 difference)
[2020-08-14 22:11:26,079] chlorophyll.autograd INFO    :   7599 -  103128176.0 (   -226128.0 difference)
[2020-08-14 22:11:26,338] chlorophyll.autograd INFO    :   7699 -  102904696.0 (   -223480.0 difference)
[2020-08-14 22:11:26,596] chlorophyll.autograd INFO    :   7799 -  102683808.0 (   -220888.0 difference)
[2020-08-14 22:11:26,854] chlorophyll.autograd INFO    :   7899 -  102465440.0 (   -218368.0 difference)
[2020-08-14 22:11:27,111] chlorophyll.autograd INFO    :   7999 -  102249520.0 (   -215920.0 difference)
[2020-08-14 22:11:27,368] chlorophyll.autograd INFO    :   8099 -  102036000.0 (   -213520.0 difference)
[2020-08-14 22:11:27,627] chlorophyll.autograd INFO    :   8199 -  101824848.0 (   -211152.0 difference)
[2020-08-14 22:11:27,884] chlorophyll.autograd INFO    :   8299 -  101616040.0 (   -208808.0 difference)
[2020-08-14 22:11:28,140] chlorophyll.autograd INFO    :   8399 -  101409488.0 (   -206552.0 difference)
[2020-08-14 22:11:28,398] chlorophyll.autograd INFO    :   8499 -  101205128.0 (   -204360.0 difference)
[2020-08-14 22:11:28,657] chlorophyll.autograd INFO    :   8599 -  101002896.0 (   -202232.0 difference)
[2020-08-14 22:11:28,914] chlorophyll.autograd INFO    :   8699 -  100802720.0 (   -200176.0 difference)
[2020-08-14 22:11:29,172] chlorophyll.autograd INFO    :   8799 -  100604584.0 (   -198136.0 difference)
[2020-08-14 22:11:29,429] chlorophyll.autograd INFO    :   8899 -  100408528.0 (   -196056.0 difference)
[2020-08-14 22:11:29,687] chlorophyll.autograd INFO    :   8999 -  100214512.0 (   -194016.0 difference)
[2020-08-14 22:11:29,944] chlorophyll.autograd INFO    :   9099 -  100022496.0 (   -192016.0 difference)
[2020-08-14 22:11:30,203] chlorophyll.autograd INFO    :   9199 -   99832392.0 (   -190104.0 difference)
[2020-08-14 22:11:30,460] chlorophyll.autograd INFO    :   9299 -   99644096.0 (   -188296.0 difference)
[2020-08-14 22:11:30,717] chlorophyll.autograd INFO    :   9399 -   99457640.0 (   -186456.0 difference)
[2020-08-14 22:11:30,974] chlorophyll.autograd INFO    :   9499 -   99272968.0 (   -184672.0 difference)
[2020-08-14 22:11:31,247] chlorophyll.autograd INFO    :   9599 -   99090096.0 (   -182872.0 difference)
[2020-08-14 22:11:31,505] chlorophyll.autograd INFO    :   9699 -   98908976.0 (   -181120.0 difference)
[2020-08-14 22:11:31,763] chlorophyll.autograd INFO    :   9799 -   98729624.0 (   -179352.0 difference)
[2020-08-14 22:11:32,026] chlorophyll.autograd INFO    :   9899 -   98552000.0 (   -177624.0 difference)
[2020-08-14 22:11:32,284] chlorophyll.autograd INFO    :   9999 -   98376080.0 (   -175920.0 difference)
[2020-08-14 22:11:32,285] chlorophyll.autograd INFO    : optimization took 3e+01 seconds
[2020-08-14 22:11:32,562] chlorophyll.autograd INFO    : RMSE of validation chlorophyll vs predicted chlorophyll: 8.61
[2020-08-14 22:11:32,562] chlorophyll.autograd INFO    : standard deviation of validation chlorophyll:            9.38
